"","FIPS","SVI","Est_Hest","Party","NHW","mean_mobility","sum_deaths"
"281",10003,0.38,0.0564,0.688198222993811,0.5744,0.745214717243772,0.00149618883478031
"282",10005,0.4,0.0555,0.443132778785415,0.7496,0.79429508858272,0.00212189134379336
"283",12001,0.47,0.1167,0.637663851687566,0.6105,0.781141772978287,0.00105931022178611
"284",12003,0.68,0.155,0.146042443361055,0.8108,0.836120112740523,0.00219103046901746
"285",12005,0.61,0.1553,0.279290379561885,0.7612,0.784837689208384,0.00226667811453593
"286",12007,0.93,0.1795,0.234178153253298,0.7354,0.855811486331243,0.00205666465728166
"287",12009,0.37,0.127,0.416766732504377,0.7444,0.773147556245236,0.00151841871808247
"288",12011,0.58,0.1215,0.649839680474205,0.3628,0.77424256588054,0.0015767281278261
"289",12013,0.84,0.1681,0.186487737158723,0.7715,0.810785182559376,0.00340304856433889
"290",12015,0.49,0.1228,0.365949305723882,0.8391,0.755321407671842,0.00231327086972632
"291",12017,0.6,0.136,0.293063908961101,0.88,0.777571746022709,0.00312046880533487
"292",12019,0.38,0.1377,0.312035310308884,0.7274,0.808304336862393,0.00160545855910094
"293",12021,0.46,0.1071,0.37575942412052,0.6283,0.777813253015907,0.00143413128536615
"294",12023,0.86,0.1795,0.27218320610687,0.7227,0.831541780955682,0.00237145328237034
"295",12027,0.96,0.1434,0.338768692332167,0.5476,0.812737804664838,0.0026051946001421
"296",12029,0.9,0.1795,0.168020679468242,0.8408,0.827679054901805,0.00148579579222632
"297",12031,0.69,0.1418,0.519322747667164,0.5288,0.785355779565269,0.00154841269426941
"298",12033,0.49,0.1528,0.423196482163207,0.6434,0.787313313366385,0.00221792181354377
"299",12035,0.28,0.1206,0.395497443963822,0.7466,0.78568531777439,0.00101667521137286
"300",12037,0.81,0.1681,0.311994113318617,0.7711,0.799413642140941,0.00181443298969072
"301",12039,0.99,0.1681,0.683927512913879,0.3232,0.838833786354172,0.00223390275952694
"302",12041,0.76,0.1795,0.177175612298072,0.8622,0.87284645768552,0.00236788289742762
"303",12043,0.9,0.1507,0.268047222759822,0.5974,0.774945896588066,0.00137571500977482
"304",12045,0.59,0.1681,0.245122252408002,0.7631,0.75279792938662,0.00337268128161889
"305",12047,0.99,0.1725,0.339736933194877,0.5471,0.83804061546992,0.00173274189076795
"306",12049,0.98,0.1434,0.2729216152019,0.4706,0.820931742813394,0.00167056465085199
"307",12051,0.99,0.1507,0.384028048305415,0.3204,0.800923912653711,0.00211793822283566
"308",12053,0.55,0.1438,0.347620238856306,0.7755,0.774699070934491,0.00248556105610561
